Telegram N,Issue Id,Summary,Role,Location,Technologies,Team,Description,,,
11,VAC-143,Frontend Kotlin Developer (New Product),Software Developer,"Munich, Germany",Kotlin,New Product,"""
## Frontend Kotlin Developer (New Product) JetBrains is known for IntelliJ IDEA, the smartest IDE for Java and other programming languages, and ReSharper, the most popular extension for Microsoft Visual Studio. We are working on a new ambitious project—a tool for developer teams to make their day-to-day work more exciting. The functionality of the future product will include: working with repositories, continuous integration, and means of improving individual productivity and team effectiveness. We are looking for talented and dedicated developers to join our team.
* How we work:* We develop an extensible application in Kotlin (full stack), a language created at JetBrains, compiling code to JVM and JavaScript. Our application is going to have a variety of diverse and complex features (which we will be happy to share with you in person). Our team enjoys a high level of independence: we develop our own UI framework, design features, enhance usability and make product decisions by ourselves. 
*Working with us will fit your interests if you:*
 -  Want to work on a brand new team tool for developers and other professionals.
 -  Want to develop the project from square one and make product decisions.
 -  Identify yourself with startup culture.
 -  Want to work in a strong team.
 -  Want to be on the cutting edge of technology. 
*What we expect from you:*
 -  Excellent knowledge of JS and interest in typed programming languages (TypeScript, Kotlin).
 -  Ability to solve complex tasks.
 -  Fundamental knowledge of CS.
 -  Ability to quickly get a grip on numerous technologies.""",,,
12,VAC-041,Senior Support Engineer,Support Engineer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",Java,IntelliJ IDEA,"""
## Senior Support Engineer JetBrains is a Way of Life. This is a place where bright people find interesting software development challenges to solve on a daily basis. If programming is your joy and passion, and code quality is as natural to you as breathing, at JetBrains you are guaranteed professional growth, unlimited creativity and the Drive to Develop. We are looking for an experienced support engineer for IntelliJ IDEA. If you have a strong software engineering background and know how to handle customers' requests, feel free to send us your application. 
*Your future tasks:*
 -  Deep investigation into users' issues to provide a bug localization for our developers.
 -  Provide technical support for IntelliJ IDEA via email, community forums, and social media.
 -  Work with the bug tracker: process new requests and the past ones.
 -  Reproduce users' issues and create bug reports for them.
 -  Contribute to the product development based on the customers' common problems and needs. 
*Your profile:*
 -  5 or more years of experience in technical support and/or software engineering.
 -  Experience in Java development.
 -  Excellent written English.
 -  Familiarity with Windows/Mac/Linux.
 -  Deep knowledge of network protocols.
 -  Experience in using bug-tracking systems.
 -  Good communication skills. 
* It would definitely be a plus if you have:*
 -  Familiarity with IntelliJ IDEA.
 -  Experience in a QA position.
 -  Experience with Java application servers.
 -  Understanding of Version Control Systems.
 -  Knowledge of databases would be a plus. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
13,VAC-043,Senior Support Engineer,Support Engineer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia","Java, C#, Continuous Integration",TeamCity,"""
## Senior Support Engineer JetBrains TeamCity, a popular continuous integration and build server, is looking for a support engineer who will work as part of the development team and will: make TeamCity users happy by helping them configure TeamCity, set up their builds and solve environment problems; provide feedback to the TeamCity team based on the support cases in order to improve the product: make it easier to use and better address customers needs. See example of the support cases on [TeamCity Support Page](https://teamcity-support.jetbrains.com/hc/en-us/community/topics). 
*Resposibilities:*
 -  Provide technical support for TeamCity via email, community forums, social media, occasionally in the phone calls.
 -  Reproduce customers' issues and communicate them to the development team.
 -  Contribute to the product development based on the customers' common problems and needs. 
*Requirements:*
 -  Excellent spoken and written English.
 -  Experience with Java or .NET.
 -  Excellent communication skills.
 -  Good teamwork skills.
 -  Being great at """"getting things done"""".
 -  Being able to learn and master new technologies.
 -  Ability to work in self-managed manner.
 -  Technical background and at least some programming experience.
 -  Understanding software development process, in particular continuous integration practice.
 -  System administration experience is a plus.
 -  Software testing experience is a plus. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
14,VAC-025,Support Engineer,Support Engineer,"St. Petersburg, Russia","Kotlin, Java",Kotlin,"""
## Support Engineer Kotlin is a modern programming language targeting the Java virtual machine, Android platform, JavaScript, and Native via LLVM. Launched in 2016, the language is rapidly gaining popularity and now has official support in Android platform, Spring Framework 5, vert.x and Gradle. The project is based on pragmatic principles: a convenient range of tools (IDE, build tools, etc.), compatibility, code supportability, and easy learning of the language. 
*We are looking for a support engineer who will:*
 -  Respond to user requests, identify the problems, and provide the users with all the necessary information to resolve their issues.
 -  Inform developers about reproducible bugs and issues that need to be addressed. 
*About the project:*
 -  Kotlin is used by developers from all over the world.
 -  We communicate with users in open channels. For instance, the Kotlin issue tracker is public.
 -  User communication is in written English. In the office, we speak Russian, sometimes English.
 -  Bug reports in [YouTrack](https://youtrack.jetbrains.com/issues/KT) make up a significant share of all user requests. We also collect user feedback from our corporate blog, a web forum, a public Slack channel, and are planning to expand to other sources in future. 
* Basic qualifications:*
 -  Ability to process a large number of requests, willingness to listen to users and understand the essence of their demands and difficulties.
 -  Good command of written technical English.
 -  Skills in reproducing bugs and the ability to shorten their descriptions.
 -  Experience with bugtracker.
 -  Self-discipline, good time-management skills allowing you not to miss out numerous user requests.
 -  Familiarity with any JVM programming language: Kotlin, Java, Scala, Groovy, etc. 
*  Preferred qualifications:*
 -  Familiarity with Kotlin-integrated languages, environments, and tools: IntelliJ IDEA, Maven, Gradle, Android, JavaScript. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
15,VAC-132,Shift Support Engineer (Linux),Support Engineer,"St. Petersburg, Russia",No technologies,IT Department,"""
## Shift Support Engineer (Linux) Our team is the IT core of JetBrains. The company’s efficiency depends on the sustainability and consistency of our services. We support the complex infrastructure of the company, helping our developers to write code. We invent and implement sophisticated solutions and stay on the cutting edge of technology. Our friendly team is looking for a Support Engineer to provide round-the-clock support for the company's IT services. 
*As part of our team, you will:*
 -  Provide round-the-clock support for the external and internal services of the company.
 -  Track the performance of the monitoring system and respond to its changes.
 -  Diagnose problems at an early stage.
 -  Fix issues in the company's systems (independently or with professional assistance).
 -  Update the company services. 
*Requirements:*
 -  Higher education/incomplete higher education in a technical field.
 -  Experience in Linux administration.
 -  Ability to diagnose network and operating system problems.
 -  Ability to work through the night.
 -  Ability to keep a record of your actions and maintain documentation.
 -  Familiarity with monitoring systems.
 -  Ability to analyze technical problems.
 -  Knowledge of web servers (Apache/Nginx/Tomcat).
 -  Tolerance to stress and readiness to perform monotonous tasks. 
*We offer:*
 -  Rotating 12-hour shift schedule (day and night shifts from 10 PM to 10 AM / from 10 AM to 10 PM);
 -  Hot meals at lunchtime, snacks and refreshments round-the-clock;
 -  High salary: determined individually, but definitely above industry average;
 -  Full salary during sick leave;
 -  Health insurance (including dental coverage) for employees, their spouses, and children under 18;
 -  Spacious comfortable office (open 24/7) with a private parking lot;
 -  Ergonomic work spaces and cozy lounge zones.""",,,
16,VAC-192,IT Support Specialist,Support Engineer,"Prague, Czech Republic",No technologies,IT Department,"""
## IT Support Specialist JetBrains has 9 offices around the world, and all of them are connected via dedicated channels, have video conferencing, telecommunication systems, and server rooms. That is 1000 workstations (Windows, Linux & macOS), 1000 virtual machines in a private VMware Cloud, and 300 virtual machines in public AWS and Azure Clouds. The JetBrains IT department is made up of 20 people who daily support the whole IT infrastructure of the company. The team is currently looking for an IT Support Specialist. 
*We'll be happy to have you on our team if you:*
 -  Can take apart and repair any computer.
 -  Can fix errors in the operating system in different ways (not only by reinstalling the OS).
 -  Will communicate patiently and politely with users who experience issues.
 -  Know how local networks and the Internet work.
 -  Enjoy disassembling all kinds of devices to learn more about them.
 -  Don't mind soldering a damaged wire.
 -  Have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning.
 -  Want to grow as a professional, to master and apply new approaches and technologies.
 -  Take pride in the work you do.
 -  Have previous IT Helpdesk Support experience (3+ years).
 -  Speak Fluent Czech, English, Russian. 
*What tasks we have in store:*
 -  Are eager to share your knowledge with your peers.
 -  Can quickly come up with solutions when communicating with users remotely. 
*What tasks we have in store:*
 -  Providing technical support to all JetBrains employees.
 -  Setting up new computers, fixing and modernizing the old ones.
 -  Deciding what hardware will be a better choice for a particular case.
 -  Advising JetBrainers on any hardware or software-related issues.
 -  Maintaining all the IT equipment in the office: computers, monitors, laptops, printers, copy machines, phones, and video conferencing systems. 
*We offer:*
 -  Comfortable working environment, including fitness, leisure zones and private parking.
 -  Flexible working hours, a possibility of remote work.
 -  Additional benefits including free refreshments in the office and free massages.
 -  Work with helpful and engaged colleagues and unique company culture.""",,,
17,VAC-193,IT Support Specialist,Support Engineer,"Munich, Germany",No technologies,IT Department,"""
## IT Support Specialist JetBrains has 9 offices around the world, and all of them are connected via dedicated channels, have video conferencing, telecommunication systems, and server rooms. That is 1000 workstations (Windows, Linux & macOS), 1000 virtual machines in a private VMware Cloud, and 300 virtual machines in public AWS and Azure Clouds. The JetBrains IT department is made up of 20 people who daily support the whole IT infrastructure of the company. The team is currently looking for an IT Support Specialist. 
*We'll be happy to have you on our team if you:*
 -  Can take apart and repair any computer.
 -  Can fix errors in the operating system in different ways (not only by reinstalling the OS).
 -  Will communicate patiently and politely with users who experience issues.
 -  Know how local networks and the Internet work.
 -  Enjoy disassembling all kinds of devices to learn more about them.
 -  Don't mind soldering a damaged wire.
 -  Have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning.
 -  Want to grow as a professional, to master and apply new approaches and technologies.
 -  Take pride in the work you do.
 -  Have previous IT Helpdesk Support experience (3+ years).
 -  Speak Fluent English, Russian. 
*What tasks we have in store:*
 -  Are eager to share your knowledge with your peers.
 -  Can quickly come up with solutions when communicating with users remotely. 
*What tasks we have in store:*
 -  Providing technical support to all JetBrains employees.
 -  Setting up new computers, fixing and modernizing the old ones.
 -  Deciding what hardware will be a better choice for a particular case.
 -  Advising JetBrainers on any hardware or software-related issues.
 -  Maintaining all the IT equipment in the office: computers, monitors, laptops, printers, copy machines, phones, and video conferencing systems. 
*We offer:*
 -  Fascinating work in a friendly dynamic team.
 -  Competitive salary.
 -  Flexible working schedule.
 -  25 working days of paid leave per year.
 -  An office library with specialized work-related books and magazines.
 -  Comfortable working environment, with ergonomic workplaces, fitness and leisure zones and a company-paid car park.
 -  Excellent opportunity for professional and personal development, opportunity to travel to professional conferences worldwide.
 -  Additional benefits including lunch vouchers, free refreshments and snacks in the office, and more.""",,,
18,VAC-197,Security Support Engineer,Support Engineer,"St. Petersburg, Russia",No technologies,Security and Data Protection,"""
## Security Support Engineer At JetBrains we are passionate about creating individual and team products that help people drive their development and make the process more enjoyable. Our Security team is looking for an experienced Support Engineer / Security Analyst to handle security issue reports. The issues may involve a variety of products, both internal and external, including infrastructure, web applications, and desktop applications. In this role, you will help evaluate reported security issues, maintain related communications, and build a knowledge base of security issues. 
*Resposibilities:*
 -  Take ownership of security issue reports and handle problems through to resolution.
 -  Research, diagnose, and troubleshoot the security issues, and identify solutions.
 -  Follow standard procedures to escalate unresolved issues to the appropriate internal teams.
 -  Handle security issues: - Triage. - Communicate on the reports internally and externally. - Track the resulting internal issues through to resolution. - Verify implemented solutions. - Manage CVE numbers for security issues.
 -  Maintain documentation: - Maintain documentation for past security/privacy issues. - Maintain a knowledge base of security/privacy best practices. - Prepare timely internal communication on the issues and best practices.
 -  Process customer requests: - Respond to clarification requests. - Help customers with their vendor due diligence processes. 
*Requirements:*
 -  3 or more years of experience in Support.
 -  Fluent in English with good writing skills.
 -  Degree in computer science, information technology, or a relevant discipline.
 -  Skills and experience in system, network, and infrastructure security.
 -  Analytical thinking, problem-solving skills, and being results-oriented. 
*Preferable:*
 -  Programming experience in Kotlin, Java, or Python.
 -  Experience in Quality Assurance.
 -  Experience in process automation.
 -  Experience with JetBrains products.
 -  Understanding of SOC2, ISO 27001, or PCI DSS standards.
 -  Knowledge of security aspects including OWASP Top Ten, and secure coding best practices. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
19,VAC-046,Customer Assistance Engineer,Support Engineer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",Java,IntelliJ IDEA,"""
## Customer Assistance Engineer Founded in 2000, JetBrains s.r.o. is a world-leading vendor of professional software development tools. At JetBrains, we have a passion for making people more productive through smart software solutions that help them focus on what they really want to accomplish, and less on mundane, repetitive """"computer-busy work"""". We are looking for passionate, creative, and open-minded people to join our development team. 
*Resposibilities:*
 -  Provide technical support for IntelliJ IDEA.
 -  Communication with JetBrains customers over e-mail, Twitter, forums, StackOverflow, GTalk, and other social media.
 -  Reproduce and resolve customer, partner, and reseller issues with JetBrains products.
 -  Provide remote assistance to customers using Remote Desktop or alike.
 -  Work closely with the development team over found issues. 
*Requirements:*
 -  Excellent written English.
 -  Knowledge of Java, Java EE.
 -  Experience using bug-tracking systems.
 -  Good communication skills. 
*Preferable:*
 -  Knowledge of IntelliJ IDEA.
 -  Experience in a similar or QA position. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
20,VAC-012,Senior Software Developer (Native IDE),Software Developer,"St. Petersburg, Russia","Kotlin, Java, Swift, Сompilers",Kotlin,"""
## Senior Software Developer Kotlin is a modern programming language targeting the Java, Android, JavaScript and Native platforms. First released in 2016, the language is rapidly gaining popularity and is now officially supported in the Android platform, Spring Framework 5, Vert.x, and Gradle. Kotlin is becoming increasingly popular, and we are striving to provide the community with the smartest tools for Kotlin development. Kotlin/Native is a fast-evolving technology for native development in Kotlin based on LLVM infrastructure, and it is particularly designed for cross-platform Android and iOS mobile development. 
*What tasks we have in store:*
 -  We build all the tooling around Kotlin/Native: the compiler, the runtime system, the Gradle plugin, the debugger, the cross-language interoperability system, and, of course, the IDE.
 -  The tasks we tackle are very diverse, focusing on improving the entire range of tools for native development in the Kotlin language. 
*We'll be happy to have you on our team if you:*
 -  Are ready to solve challenging and engaging problems.
 -  Are familiar with compiler development and code analysis technologies.
 -  Have at least 3 years of development experience in Java/Kotlin/Swift.
 -  Have strong teamwork skills.
 -  Are eager to explore and master new technologies. 
*What tasks we have in store:*
 -  Have experience in creating developer tools, especially IDEs.
 -  Have participated in open-source projects or developed projects of your own.
 -  Know C, C++, Swift, Objective-C.
 -  Have an insight on how to make application development in Kotlin/Native even better. 
* How we develop Kotlin/Native:*
 -  The source code is stored in Git repositories, some of which are available on [GitHub](https://github.com/JetBrains/kotlin-native).
 -  For effective teamwork, we use our own products: [TeamCity](https://teamcity.jetbrains.com/acceptTermsOfServices.html?agreement=hosted&proceedUrl=%2Fprofile.html) for test auto-running and product building, [YouTrack](https://youtrack.jetbrains.com/issues/KT) for tracking bugs and features 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
21,VAC-013,Senior Software Developer,Software Developer,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia",Java,IntelliJ IDEA,"""
## Senior Software Developer IntelliJ IDEA appeared on the market for Java software developers 11 years ago. It was the first development environment to implement automated code refactorings. Today IntelliJ IDEA still drives innovation in software development, making thousands of programmers more productive. It is the only commercial IDE in its segment to successfully compete with multiple free alternatives, year after year. IntelliJ IDEA includes various development tools for other languages such as Ruby, Groovy, Scala, Python and PHP. 

*Your responsibilities:*
As part of our team, you will help develop support for programming languages already available in IntelliJ IDEA as well as additional languages.

*Requirements:*
 -  3 or more years of working experience in Java programming.
 -  Deep understanding of OOP.
 -  Multithread programming experience.
 -  Ability to optimize and refactor other people's code as well as your own.
 -  Responsibility, independence, discipline.
 -  Good teamwork skills. 
*Preferable:*
 -  Experience in developing plug-ins for IntelliJ IDEA, Eclipse and/or Netbeans.
 -  Knowledge of other languages and paradigms (Groovy, Haskell, Objective-C, Python, Scala, Ruby, etc.)
 -  Familiarity with compiler development and code analysis technologies. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
